Customer_ID,Signup_Date,Segment
1000,2023-01-01 00:00:00,Regular
1001,2023-01-01 01:00:00,Regular
1002,2023-01-01 02:00:00,Premium
1003,2023-01-01 03:00:00,Premium
1004,2023-01-01 04:00:00,Regular
1005,2023-01-01 05:00:00,Regular
1006,2023-01-01 06:00:00,Premium
1007,2023-01-01 07:00:00,Regular
1008,2023-01-01 08:00:00,Premium
1009,2023-01-01 09:00:00,Regular
1010,2023-01-01 10:00:00,Regular
1011,2023-01-01 11:00:00,Regular
1012,2023-01-01 12:00:00,Regular
1013,2023-01-01 13:00:00,Regular
1014,2023-01-01 14:00:00,Regular
1015,2023-01-01 15:00:00,Regular
1016,2023-01-01 16:00:00,Regular
1017,2023-01-01 17:00:00,Premium
1018,2023-01-01 18:00:00,Regular
1019,2023-01-01 19:00:00,Regular
1020,2023-01-01 20:00:00,Premium
1021,2023-01-01 21:00:00,Regular
1022,2023-01-01 22:00:00,Regular
1023,2023-01-01 23:00:00,Regular
1024,2023-01-02 00:00:00,Premium
1025,2023-01-02 01:00:00,Premium
1026,2023-01-02 02:00:00,Regular
1027,2023-01-02 03:00:00,Premium
1028,2023-01-02 04:00:00,Regular
1029,2023-01-02 05:00:00,Regular
1030,2023-01-02 06:00:00,Premium
1031,2023-01-02 07:00:00,Regular
1032,2023-01-02 08:00:00,Premium
1033,2023-01-02 09:00:00,Regular
1034,2023-01-02 10:00:00,Regular
1035,2023-01-02 11:00:00,Premium
1036,2023-01-02 12:00:00,Regular
1037,2023-01-02 13:00:00,Premium
1038,2023-01-02 14:00:00,Premium
1039,2023-01-02 15:00:00,Premium
1040,2023-01-02 16:00:00,Regular
1041,2023-01-02 17:00:00,Regular
1042,2023-01-02 18:00:00,Premium
1043,2023-01-02 19:00:00,Regular
1044,2023-01-02 20:00:00,Regular
1045,2023-01-02 21:00:00,Premium
1046,2023-01-02 22:00:00,Regular
1047,2023-01-02 23:00:00,Premium
1048,2023-01-03 00:00:00,Regular
1049,2023-01-03 01:00:00,Regular
1050,2023-01-03 02:00:00,Regular
1051,2023-01-03 03:00:00,Regular
1052,2023-01-03 04:00:00,Regular
1053,2023-01-03 05:00:00,Regular
1054,2023-01-03 06:00:00,Premium
1055,2023-01-03 07:00:00,Regular
1056,2023-01-03 08:00:00,Regular
1057,2023-01-03 09:00:00,Regular
1058,2023-01-03 10:00:00,Regular
1059,2023-01-03 11:00:00,Regular
1060,2023-01-03 12:00:00,Regular
1061,2023-01-03 13:00:00,Regular
1062,2023-01-03 14:00:00,Regular
1063,2023-01-03 15:00:00,Regular
1064,2023-01-03 16:00:00,Regular
1065,2023-01-03 17:00:00,Regular
1066,2023-01-03 18:00:00,Regular
1067,2023-01-03 19:00:00,Regular
1068,2023-01-03 20:00:00,Regular
1069,2023-01-03 21:00:00,Regular
1070,2023-01-03 22:00:00,Regular
1071,2023-01-03 23:00:00,Premium
1072,2023-01-04 00:00:00,Premium
1073,2023-01-04 01:00:00,Regular
1074,2023-01-04 02:00:00,Premium
1075,2023-01-04 03:00:00,Regular
1076,2023-01-04 04:00:00,Regular
1077,2023-01-04 05:00:00,Regular
1078,2023-01-04 06:00:00,Regular
1079,2023-01-04 07:00:00,Regular
1080,2023-01-04 08:00:00,Regular
1081,2023-01-04 09:00:00,Premium
1082,2023-01-04 10:00:00,Regular
1083,2023-01-04 11:00:00,Regular
1084,2023-01-04 12:00:00,Regular
1085,2023-01-04 13:00:00,Premium
1086,2023-01-04 14:00:00,Regular
1087,2023-01-04 15:00:00,Regular
1088,2023-01-04 16:00:00,Regular
1089,2023-01-04 17:00:00,Regular
1090,2023-01-04 18:00:00,Regular
1091,2023-01-04 19:00:00,Regular
1092,2023-01-04 20:00:00,Regular
1093,2023-01-04 21:00:00,Regular
1094,2023-01-04 22:00:00,Regular
1095,2023-01-04 23:00:00,Regular
1096,2023-01-05 00:00:00,Regular
1097,2023-01-05 01:00:00,Regular
1098,2023-01-05 02:00:00,Regular
1099,2023-01-05 03:00:00,Premium
1100,2023-01-05 04:00:00,Regular
1101,2023-01-05 05:00:00,Regular
1102,2023-01-05 06:00:00,Regular
1103,2023-01-05 07:00:00,Premium
1104,2023-01-05 08:00:00,Regular
1105,2023-01-05 09:00:00,Regular
1106,2023-01-05 10:00:00,Regular
1107,2023-01-05 11:00:00,Regular
1108,2023-01-05 12:00:00,Regular
1109,2023-01-05 13:00:00,Premium
1110,2023-01-05 14:00:00,Regular
1111,2023-01-05 15:00:00,Regular
1112,2023-01-05 16:00:00,Regular
1113,2023-01-05 17:00:00,Regular
1114,2023-01-05 18:00:00,Premium
1115,2023-01-05 19:00:00,Regular
1116,2023-01-05 20:00:00,Premium
1117,2023-01-05 21:00:00,Regular
1118,2023-01-05 22:00:00,Regular
1119,2023-01-05 23:00:00,Regular
1120,2023-01-06 00:00:00,Regular
1121,2023-01-06 01:00:00,Regular
1122,2023-01-06 02:00:00,Regular
1123,2023-01-06 03:00:00,Regular
1124,2023-01-06 04:00:00,Regular
1125,2023-01-06 05:00:00,Regular
1126,2023-01-06 06:00:00,Regular
1127,2023-01-06 07:00:00,Regular
1128,2023-01-06 08:00:00,Premium
1129,2023-01-06 09:00:00,Regular
1130,2023-01-06 10:00:00,Regular
1131,2023-01-06 11:00:00,Regular
1132,2023-01-06 12:00:00,Regular
1133,2023-01-06 13:00:00,Regular
1134,2023-01-06 14:00:00,Premium
1135,2023-01-06 15:00:00,Regular
1136,2023-01-06 16:00:00,Regular
1137,2023-01-06 17:00:00,Regular
1138,2023-01-06 18:00:00,Regular
1139,2023-01-06 19:00:00,Regular
1140,2023-01-06 20:00:00,Premium
1141,2023-01-06 21:00:00,Regular
1142,2023-01-06 22:00:00,Premium
1143,2023-01-06 23:00:00,Regular
1144,2023-01-07 00:00:00,Regular
1145,2023-01-07 01:00:00,Regular
1146,2023-01-07 02:00:00,Regular
1147,2023-01-07 03:00:00,Premium
1148,2023-01-07 04:00:00,Regular
1149,2023-01-07 05:00:00,Premium
1150,2023-01-07 06:00:00,Regular
1151,2023-01-07 07:00:00,Regular
1152,2023-01-07 08:00:00,Premium
1153,2023-01-07 09:00:00,Regular
1154,2023-01-07 10:00:00,Premium
1155,2023-01-07 11:00:00,Regular
1156,2023-01-07 12:00:00,Premium
1157,2023-01-07 13:00:00,Regular
1158,2023-01-07 14:00:00,Regular
1159,2023-01-07 15:00:00,Regular
1160,2023-01-07 16:00:00,Regular
1161,2023-01-07 17:00:00,Regular
1162,2023-01-07 18:00:00,Regular
1163,2023-01-07 19:00:00,Regular
1164,2023-01-07 20:00:00,Regular
1165,2023-01-07 21:00:00,Regular
1166,2023-01-07 22:00:00,Regular
1167,2023-01-07 23:00:00,Regular
1168,2023-01-08 00:00:00,Regular
1169,2023-01-08 01:00:00,Regular
1170,2023-01-08 02:00:00,Regular
1171,2023-01-08 03:00:00,Regular
1172,2023-01-08 04:00:00,Premium
1173,2023-01-08 05:00:00,Regular
1174,2023-01-08 06:00:00,Regular
1175,2023-01-08 07:00:00,Regular
1176,2023-01-08 08:00:00,Regular
1177,2023-01-08 09:00:00,Premium
1178,2023-01-08 10:00:00,Premium
1179,2023-01-08 11:00:00,Regular
1180,2023-01-08 12:00:00,Regular
1181,2023-01-08 13:00:00,Regular
1182,2023-01-08 14:00:00,Regular
1183,2023-01-08 15:00:00,Premium
1184,2023-01-08 16:00:00,Regular
1185,2023-01-08 17:00:00,Regular
1186,2023-01-08 18:00:00,Regular
1187,2023-01-08 19:00:00,Regular
1188,2023-01-08 20:00:00,Regular
1189,2023-01-08 21:00:00,Premium
1190,2023-01-08 22:00:00,Regular
1191,2023-01-08 23:00:00,Premium
1192,2023-01-09 00:00:00,Regular
1193,2023-01-09 01:00:00,Regular
1194,2023-01-09 02:00:00,Regular
1195,2023-01-09 03:00:00,Regular
1196,2023-01-09 04:00:00,Premium
1197,2023-01-09 05:00:00,Regular
1198,2023-01-09 06:00:00,Regular
1199,2023-01-09 07:00:00,Regular
1200,2023-01-09 08:00:00,Regular
1201,2023-01-09 09:00:00,Regular
1202,2023-01-09 10:00:00,Regular
1203,2023-01-09 11:00:00,Regular
1204,2023-01-09 12:00:00,Regular
1205,2023-01-09 13:00:00,Regular
1206,2023-01-09 14:00:00,Regular
1207,2023-01-09 15:00:00,Regular
1208,2023-01-09 16:00:00,Regular
1209,2023-01-09 17:00:00,Regular
1210,2023-01-09 18:00:00,Regular
1211,2023-01-09 19:00:00,Regular
1212,2023-01-09 20:00:00,Regular
1213,2023-01-09 21:00:00,Regular
1214,2023-01-09 22:00:00,Regular
1215,2023-01-09 23:00:00,Regular
1216,2023-01-10 00:00:00,Regular
1217,2023-01-10 01:00:00,Regular
1218,2023-01-10 02:00:00,Premium
1219,2023-01-10 03:00:00,Regular
1220,2023-01-10 04:00:00,Premium
1221,2023-01-10 05:00:00,Regular
1222,2023-01-10 06:00:00,Regular
1223,2023-01-10 07:00:00,Regular
1224,2023-01-10 08:00:00,Regular
1225,2023-01-10 09:00:00,Regular
1226,2023-01-10 10:00:00,Regular
1227,2023-01-10 11:00:00,Premium
1228,2023-01-10 12:00:00,Regular
1229,2023-01-10 13:00:00,Premium
1230,2023-01-10 14:00:00,Regular
1231,2023-01-10 15:00:00,Regular
1232,2023-01-10 16:00:00,Regular
1233,2023-01-10 17:00:00,Regular
1234,2023-01-10 18:00:00,Regular
1235,2023-01-10 19:00:00,Premium
1236,2023-01-10 20:00:00,Regular
1237,2023-01-10 21:00:00,Regular
1238,2023-01-10 22:00:00,Regular
1239,2023-01-10 23:00:00,Regular
1240,2023-01-11 00:00:00,Regular
1241,2023-01-11 01:00:00,Regular
1242,2023-01-11 02:00:00,Regular
1243,2023-01-11 03:00:00,Regular
1244,2023-01-11 04:00:00,Regular
1245,2023-01-11 05:00:00,Regular
1246,2023-01-11 06:00:00,Regular
1247,2023-01-11 07:00:00,Regular
1248,2023-01-11 08:00:00,Regular
1249,2023-01-11 09:00:00,Premium
1250,2023-01-11 10:00:00,Premium
1251,2023-01-11 11:00:00,Regular
1252,2023-01-11 12:00:00,Premium
1253,2023-01-11 13:00:00,Regular
1254,2023-01-11 14:00:00,Regular
1255,2023-01-11 15:00:00,Regular
1256,2023-01-11 16:00:00,Premium
1257,2023-01-11 17:00:00,Regular
1258,2023-01-11 18:00:00,Premium
1259,2023-01-11 19:00:00,Premium
1260,2023-01-11 20:00:00,Regular
1261,2023-01-11 21:00:00,Regular
1262,2023-01-11 22:00:00,Regular
1263,2023-01-11 23:00:00,Regular
1264,2023-01-12 00:00:00,Regular
1265,2023-01-12 01:00:00,Regular
1266,2023-01-12 02:00:00,Regular
1267,2023-01-12 03:00:00,Regular
1268,2023-01-12 04:00:00,Regular
1269,2023-01-12 05:00:00,Regular
1270,2023-01-12 06:00:00,Regular
1271,2023-01-12 07:00:00,Regular
1272,2023-01-12 08:00:00,Regular
1273,2023-01-12 09:00:00,Premium
1274,2023-01-12 10:00:00,Regular
1275,2023-01-12 11:00:00,Regular
1276,2023-01-12 12:00:00,Premium
1277,2023-01-12 13:00:00,Regular
1278,2023-01-12 14:00:00,Regular
1279,2023-01-12 15:00:00,Regular
1280,2023-01-12 16:00:00,Premium
1281,2023-01-12 17:00:00,Premium
1282,2023-01-12 18:00:00,Regular
1283,2023-01-12 19:00:00,Regular
1284,2023-01-12 20:00:00,Premium
1285,2023-01-12 21:00:00,Regular
1286,2023-01-12 22:00:00,Regular
1287,2023-01-12 23:00:00,Regular
1288,2023-01-13 00:00:00,Regular
1289,2023-01-13 01:00:00,Regular
1290,2023-01-13 02:00:00,Regular
1291,2023-01-13 03:00:00,Regular
1292,2023-01-13 04:00:00,Regular
1293,2023-01-13 05:00:00,Regular
1294,2023-01-13 06:00:00,Regular
1295,2023-01-13 07:00:00,Regular
1296,2023-01-13 08:00:00,Regular
1297,2023-01-13 09:00:00,Premium
1298,2023-01-13 10:00:00,Regular
1299,2023-01-13 11:00:00,Regular
1300,2023-01-13 12:00:00,Regular
1301,2023-01-13 13:00:00,Regular
1302,2023-01-13 14:00:00,Regular
1303,2023-01-13 15:00:00,Regular
1304,2023-01-13 16:00:00,Regular
1305,2023-01-13 17:00:00,Premium
1306,2023-01-13 18:00:00,Regular
1307,2023-01-13 19:00:00,Regular
1308,2023-01-13 20:00:00,Regular
1309,2023-01-13 21:00:00,Regular
1310,2023-01-13 22:00:00,Regular
1311,2023-01-13 23:00:00,Regular
1312,2023-01-14 00:00:00,Regular
1313,2023-01-14 01:00:00,Regular
1314,2023-01-14 02:00:00,Regular
1315,2023-01-14 03:00:00,Regular
1316,2023-01-14 04:00:00,Premium
1317,2023-01-14 05:00:00,Regular
1318,2023-01-14 06:00:00,Regular
1319,2023-01-14 07:00:00,Regular
1320,2023-01-14 08:00:00,Premium
1321,2023-01-14 09:00:00,Premium
1322,2023-01-14 10:00:00,Regular
1323,2023-01-14 11:00:00,Premium
1324,2023-01-14 12:00:00,Regular
1325,2023-01-14 13:00:00,Premium
1326,2023-01-14 14:00:00,Regular
1327,2023-01-14 15:00:00,Regular
1328,2023-01-14 16:00:00,Regular
1329,2023-01-14 17:00:00,Regular
1330,2023-01-14 18:00:00,Regular
